Station,Date(NZST),Time(NZST),Amount(mm),Period(Hrs),Freq
37852,20170116,1400,0.0,1,H
22719,20170116,1500,0.0,1,H
37852,20170116,1500,0.0,1,H
22719,20170116,1600,0.0,1,H
37852,20170116,1600,0.0,1,H
22719,20170116,1700,0.0,1,H
37852,20170116,1700,0.0,1,H
22719,20170116,1800,0.0,1,H
37852,20170116,1800,0.0,1,H
22719,20170116,1900,0.0,1,H
37852,20170116,1900,0.0,1,H
22719,20170116,2000,0.0,1,H
37852,20170116,2000,0.0,1,H
22719,20170116,2100,0.0,1,H
37852,20170116,2100,0.0,1,H
22719,20170116,2200,0.0,1,H
